formula_i,chaos,spatial,spectral,msm,total_iso_ints,min_iso_ints,max_iso_ints,formula,fdr,moldb_id,chem_mod,neutral_loss,adduct
467132,0.982051282051282,0.8827344380718647,0.9788252707635419,0.8485343152874677,"[75259520.0, 12316507.0, 0, 0]","[0, 0, 0, 0]","[22853294.0, 4638769.5, 0, 0]",C20H38O2,0.05,22.0,,,+H
467132,0.982051282051282,0.8827344380718647,0.9788252707635419,0.8485343152874677,"[75259520.0, 12316507.0, 0, 0]","[0, 0, 0, 0]","[22853294.0, 4638769.5, 0, 0]",C20H40O3,0.05,22.0,,-H2O,+H
711613,0.9988255033557047,0.8766815324261333,0.9834723289226102,0.8611793867744564,"[34181406720.0, 9254405120.0, 76627280.0, 643257.8125]","[0, 0, 0, 0]","[31433992.0, 9213808.0, 1522194.875, 643257.8125]",C27H46O2,0.05,22.0,-CO2+CO,-H2O,+H
470243,0.998211895199847,0.8863090306927852,0.970253708571486,0.8584069528600872,"[13827915776.0, 2106523520.0, 11624303.0, 0]","[0, 0, 0, 0]","[56641108.0, 12959860.0, 1232589.0, 0]",C21H14O10,0.05,22.0,,-H2O,+H
470467,0.9987557572007975,0.8628458483187491,0.9718113795375669,0.837480087462846,"[25001676800.0, 3991565312.0, 8019602.5, 0]","[0, 0, 0, 0]","[44508520.0, 10097644.0, 986552.75, 0]",C21H14O10,0.05,22.0,,,+Na
716594,0.9990005514199063,0.9248608639213923,0.9789961578025465,0.9045302963237167,"[28426850304.0, 7219394560.0, 205411216.0, 0]","[0, 0, 0, 0]","[42254968.0, 12025900.0, 1774440.0, 0]",C27H53NO4,0.05,22.0,,,+H
1021739,0.9990771019547998,0.8667525511558712,0.9877971179130874,0.8553855091215713,"[211343638528.0, 86722265088.0, 16411768832.0, 1748038400.0]","[0, 0, 0, 0]","[235737712.0, 109581712.0, 15563701.0, 5073874.0]",C40H78NO8P,0.05,22.0,,,+H
587187,0.9992419543794363,0.9073751629767066,0.9815511235675832,0.889959968671906,"[34496430080.0, 0, 7369203200.0, 76762216.0]","[0, 0, 0, 0]","[57414452.0, 0, 13324878.0, 1465575.125]",C23H45NO5,0.05,22.0,-CO2+CO,,+H
1546937,0.998659793814433,0.8231599498669393,0.993864372897081,0.8170129121606848,"[142056538112.0, 0, 11438288896.0, 82677824.0]","[0, 0, 0, 0]","[79665936.0, 0, 7031696.5, 1265758.875]",C8H20NO6P,0.05,22.0,,,+H
652046,0.9991340206185567,0.9495932702968172,0.98601012087167,0.9354977513034762,"[44760743936.0, 0, 11155640320.0, 433663296.0]","[0, 0, 0, 0]","[71965800.0, 0, 18272150.0, 2322416.25]",C25H49NO5,0.05,22.0,-CO2+CO,,+H
152091,0.998659793814433,0.8540557294978786,0.9798374889993389,0.8357142889124797,"[142056538112.0, 0, 11438288896.0, 0]","[0, 0, 0, 0]","[79665936.0, 0, 7031696.5, 0]",C13H17NO3,0.05,22.0,,,+Na
1101178,0.9983965529420075,0.8375122274143748,0.9718934960291158,0.8126675245591631,"[202808999936.0, 99158261760.0, 2325622784.0, 1192914432.0]","[0, 0, 0, 0]","[167345760.0, 80824208.0, 34184060.0, 14435868.0]",C44H78NO8P,0.05,22.0,,,+H
1059759,0.9987201007133865,0.8961239737481167,0.9846409789442228,0.8812310543371737,"[136589819904.0, 59068723200.0, 11829800960.0, 6581668.0]","[0, 0, 0, 0]","[112890256.0, 50658448.0, 7479748.5, 1857072.125]",C42H80NO10P,0.05,22.0,-CO2+CO,-H2O,+H
