id,name,formula,inchi,added by,comment
EMBL_dev1_99,DHB; 0*M+4*(M-H2O)-5*H+2*K+3*Na,C28H11Na3K2O12,,Theodore,DHB matrix cluster
EMBL_dev1_100,DHB; 0*M+4*(M-H2O)-3*H+3*K+0*Na,C28H13K3O12,,Theodore,DHB matrix cluster
EMBL_dev1_101,DHB; 0*M+4*(M-H2O)-4*H+3*K+1*Na,C28H12NaK3O12,,Theodore,DHB matrix cluster
EMBL_dev1_102,DHB; 0*M+4*(M-H2O)-5*H+3*K+2*Na,C28H11Na2K3O12,,Theodore,DHB matrix cluster
EMBL_dev1_103,DHB; 0*M+5*(M-H2O)-0*H+0*K+0*Na,C35H20O15,,Theodore,DHB matrix cluster
EMBL_dev1_104,DHB; 0*M+5*(M-H2O)-1*H+0*K+1*Na,C35H19NaO15,,Theodore,DHB matrix cluster
EMBL_dev1_105,DHB; 0*M+5*(M-H2O)-2*H+0*K+2*Na,C35H18Na2O15,,Theodore,DHB matrix cluster
EMBL_dev1_106,DHB; 0*M+5*(M-H2O)-3*H+0*K+3*Na,C35H17Na3O15,,Theodore,DHB matrix cluster
EMBL_dev1_107,DHB; 0*M+5*(M-H2O)-1*H+1*K+0*Na,C35H19KO15,,Theodore,DHB matrix cluster
EMBL_dev1_108,DHB; 0*M+5*(M-H2O)-2*H+1*K+1*Na,C35H18NaKO15,,Theodore,DHB matrix cluster
EMBL_dev1_109,DHB; 0*M+5*(M-H2O)-3*H+1*K+2*Na,C35H17Na2KO15,,Theodore,DHB matrix cluster
EMBL_dev1_110,DHB; 0*M+5*(M-H2O)-4*H+1*K+3*Na,C35H16Na3KO15,,Theodore,DHB matrix cluster
EMBL_dev1_111,DHB; 0*M+5*(M-H2O)-2*H+2*K+0*Na,C35H18K2O15,,Theodore,DHB matrix cluster
EMBL_dev1_112,DHB; 0*M+5*(M-H2O)-3*H+2*K+1*Na,C35H17NaK2O15,,Theodore,DHB matrix cluster
EMBL_dev1_113,DHB; 0*M+5*(M-H2O)-4*H+2*K+2*Na,C35H16Na2K2O15,,Theodore,DHB matrix cluster
EMBL_dev1_114,DHB; 0*M+5*(M-H2O)-5*H+2*K+3*Na,C35H15Na3K2O15,,Theodore,DHB matrix cluster
EMBL_dev1_115,DHB; 0*M+5*(M-H2O)-3*H+3*K+0*Na,C35H17K3O15,,Theodore,DHB matrix cluster
EMBL_dev1_116,DHB; 0*M+5*(M-H2O)-4*H+3*K+1*Na,C35H16NaK3O15,,Theodore,DHB matrix cluster
EMBL_dev1_117,DHB; 0*M+5*(M-H2O)-5*H+3*K+2*Na,C35H15Na2K3O15,,Theodore,DHB matrix cluster
EMBL_dev1_118,DHB; 0*M+5*(M-H2O)-6*H+3*K+3*Na,C35H14Na3K3O15,,Theodore,DHB matrix cluster
EMBL_dev1_119,DHB; 0*M+6*(M-H2O)-0*H+0*K+0*Na,C42H24O18,,Theodore,DHB matrix cluster
EMBL_dev1_120,DHB; 0*M+6*(M-H2O)-1*H+0*K+1*Na,C42H23NaO18,,Theodore,DHB matrix cluster
EMBL_dev1_121,DHB; 0*M+6*(M-H2O)-2*H+0*K+2*Na,C42H22Na2O18,,Theodore,DHB matrix cluster
EMBL_dev1_122,DHB; 0*M+6*(M-H2O)-3*H+0*K+3*Na,C42H21Na3O18,,Theodore,DHB matrix cluster
EMBL_dev1_123,DHB; 0*M+6*(M-H2O)-1*H+1*K+0*Na,C42H23KO18,,Theodore,DHB matrix cluster
EMBL_dev1_124,DHB; 0*M+6*(M-H2O)-2*H+1*K+1*Na,C42H22NaKO18,,Theodore,DHB matrix cluster
EMBL_dev1_125,DHB; 0*M+6*(M-H2O)-3*H+1*K+2*Na,C42H21Na2KO18,,Theodore,DHB matrix cluster
EMBL_dev1_126,DHB; 0*M+6*(M-H2O)-4*H+1*K+3*Na,C42H20Na3KO18,,Theodore,DHB matrix cluster
EMBL_dev1_127,DHB; 0*M+6*(M-H2O)-2*H+2*K+0*Na,C42H22K2O18,,Theodore,DHB matrix cluster
EMBL_dev1_128,DHB; 0*M+6*(M-H2O)-3*H+2*K+1*Na,C42H21NaK2O18,,Theodore,DHB matrix cluster
EMBL_dev1_129,DHB; 0*M+6*(M-H2O)-4*H+2*K+2*Na,C42H20Na2K2O18,,Theodore,DHB matrix cluster
EMBL_dev1_130,DHB; 0*M+6*(M-H2O)-5*H+2*K+3*Na,C42H19Na3K2O18,,Theodore,DHB matrix cluster
EMBL_dev1_131,DHB; 0*M+6*(M-H2O)-3*H+3*K+0*Na,C42H21K3O18,,Theodore,DHB matrix cluster
EMBL_dev1_132,DHB; 0*M+6*(M-H2O)-4*H+3*K+1*Na,C42H20NaK3O18,,Theodore,DHB matrix cluster
EMBL_dev1_133,DHB; 0*M+6*(M-H2O)-5*H+3*K+2*Na,C42H19Na2K3O18,,Theodore,DHB matrix cluster
EMBL_dev1_134,DHB; 0*M+6*(M-H2O)-6*H+3*K+3*Na,C42H18Na3K3O18,,Theodore,DHB matrix cluster
EMBL_dev1_135,DHB; 0*M+7*(M-H2O)-0*H+0*K+0*Na,C49H28O21,,Theodore,DHB matrix cluster
EMBL_dev1_136,DHB; 0*M+7*(M-H2O)-1*H+0*K+1*Na,C49H27NaO21,,Theodore,DHB matrix cluster
