id	formula	name
LMFA01020039	C16H32O2	2,8-dimethyl-tetradecanoic acid
LMFA01020040	C17H34O2	2,6-dimethyl-pentadecanoic acid
LMFA01020041	C17H34O2	4,8-dimethyl-pentadecanoic acid
LMFA01020042	C18H36O2	2,6-dimethyl-hexadecanoic acid
LMFA01020043	C18H36O2	4,8-dimethyl-hexadecanoic acid
LMFA01020044	C18H36O2	2,14-dimethyl-hexadecanoic acid
LMFA01020045	C18H36O2	4,14-dimethyl-hexadecanoic acid
LMFA01020046	C18H36O2	6,14-dimethyl-hexadecanoic acid
LMFA01020047	C19H38O2	4,14-dimethyl-heptadecanoic acid
LMFA01020048	C20H40O2	2,14-dimethyl-octadecanoic acid
LMFA01020049	C20H40O2	4,14-dimethyl-octadecanoic acid
LMFA01020050	C20H40O2	6,14-dimethyl-octadecanoic acid
LMFA01020051	C20H40O2	4,16-dimethyl-octadecanoic acid
LMFA01020052	C20H40O2	6,16-dimethyl-octadecanoic acid
LMFA01020053	C12H24O2	2-methyl-undecanoic acid
LMFA01020054	C12H24O2	3-methyl-undecanoic acid
LMFA01020055	C12H24O2	4-methyl-undecanoic acid
LMFA01020056	C12H24O2	5-methyl-undecanoic acid
LMFA01020057	C12H24O2	6-methyl-undecanoic acid
LMFA01020058	C12H24O2	8-methyl-undecanoic acid
LMFA01020059	C12H24O2	9-methyl-undecanoic acid
LMFA01020061	C13H26O2	2-methyl lauric acid
LMFA01020062	C13H26O2	3-methyl lauric acid
LMFA01020063	C13H26O2	4-methyl lauric acid
LMFA01020064	C13H26O2	5-methyl lauric acid
LMFA01020065	C13H26O2	6-methyl lauric acid
LMFA01020066	C13H26O2	7-methyl lauric acid
LMFA01020067	C13H26O2	8-methyl lauric acid
LMFA01020068	C13H26O2	9-methyl lauric acid
LMFA01020069	C14H28O2	2-methyl-tridecanoic acid
LMFA01020070	C14H28O2	4-methyl-tridecanoic acid
LMFA01020071	C4H8O2	Isobutyric acid
LMFA01020072	C5H10O2	alpha-methyl butyric Acid
LMFA01020073	C5H10O2	Pivalic acid
LMFA01020074	C6H12O2	2-methyl valeric acid
LMFA01020075	C6H12O2	3-methyl valeric acid
LMFA01020076	C6H12O2	Isocaproic acid
LMFA01020077	C6H12O2	diethyl acetic acid
LMFA01020078	C6H12O2	dimethyl ethyl acetic acid
LMFA01020079	C6H12O2	3,3-dimethyl-butanoic acid
LMFA01020080	C7H14O2	2-methyl-hexanoic acid
LMFA01020081	C7H14O2	3-methyl-hexanoic acid
LMFA01020082	C7H14O2	4-methyl-hexanoic acid
LMFA01020083	C7H14O2	5-methyl-hexanoic acid
LMFA01020084	C7H14O2	alpha-ethyl valeric acid
LMFA01020085	C7H14O2	alpha,alpha-dimethyl valeric acid
LMFA01020086	C7H14O2	beta,beta-dimethyl valeric acid
LMFA01020087	C8H16O2	alpha-ethyl caproic acid
LMFA01020088	C9H18O2	2-methyl-octanoic acid
LMFA01020089	C10H20O2	2-methyl nonaoic acid
LMFA01020090	C11H22O2	2-methyl-decanoic acid
LMFA01020091	C15H30O2	2-methyl-tetradecanoic acid
LMFA01020092	C17H34O2	2-methyl-hexadecanoic acid
LMFA01020093	C18H36O2	lambda isostearic acid
